condition,step,layer,seeds,mean_update_to_weight_ratio,std_update_to_weight_ratio,mean_gradient_norm,std_gradient_norm
no_warmup,50,hidden,5,0.001072465803954086,9.470095015154847e-06,1.1589091083953147,0.04708443650769386
no_warmup,50,hidden_norm,5,9.759617589530327e-05,4.427740844691373e-06,0.10117017340386666,0.011712709898844455
no_warmup,50,input,5,0.00039373883853907246,8.068320874597642e-06,0.6316741372629066,0.03583419343644744
no_warmup,50,output,5,0.0011750455787545055,2.9998439776553966e-05,1.4939437539894427,0.06274375247295087
no_warmup,50,output_norm,5,9.651821673645392e-05,4.79640566193115e-06,0.1209706164793759,0.021165392325934725
no_warmup,51,hidden,5,0.0010651163354470027,1.0711225328880337e-05,1.125503698866487,0.03539568954151833
no_warmup,51,hidden_norm,5,9.74905106913454e-05,3.973701118531625e-06,0.10257642569255598,0.005764922435052755
no_warmup,51,input,5,0.0003911085139007791,7.621908993695232e-06,0.6140686307226014,0.025282945929235034
no_warmup,51,output,5,0.0011679242042062165,2.858515187049338e-05,1.4806115822944192,0.05661845681952017
no_warmup,51,output_norm,5,9.649609483367065e-05,3.183396595777163e-06,0.12724426061892652,0.017568262451479636
no_warmup,52,hidden,5,0.0010600755079438926,1.0430059899688694e-05,1.1520468955260423,0.01323480939964036
